Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,49,11,21.1,3.4,7.2,.474,0.5,1.9,.253,2.9,5.3,.552,.507,1.7,2.4,.686,1.8,4.1,5.9,1.0,0.6,0.6,1.1,1.9,8.9,achiupr01
2,Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,adamsst01
3,Bam Adebayo,C,25,MIA,72,72,35.2,8.2,15.1,.539,0.0,0.2,.083,8.1,15.0,.544,.539,4.4,5.5,.803,2.4,6.9,9.3,3.3,1.2,0.8,2.6,2.8,20.7,adebaba01
4,Ochai Agbaji,SG,22,UTA,53,16,19.2,2.4,5.5,.441,1.3,3.5,.378,1.1,2.0,.552,.562,0.7,1.0,.765,0.7,1.2,1.9,0.9,0.3,0.2,0.6,1.6,6.9,agbajoc01
5,Santi Aldama,PF,22,MEM,73,19,22.2,3.3,6.9,.474,1.3,3.5,.357,2.0,3.3,.598,.566,1.4,1.9,.745,1.1,3.7,4.8,1.2,0.6,0.6,0.8,1.9,9.2,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,54,3,15.3,2.2,5.1,.442,1.0,2.7,.379,1.2,2.4,.512,.542,0.7,1.1,.667,0.3,1.5,1.8,1.9,0.6,0.4,1.0,1.5,6.2,alexani01
7,Grayson Allen,SG,27,MIL,70,68,27.6,3.5,7.9,.442,2.1,5.2,.402,1.4,2.7,.519,.574,1.6,1.8,.905,0.9,2.4,3.3,2.3,0.9,0.2,1.0,1.7,10.6,allengr01
8,Jarrett Allen,C,24,CLE,65,65,33.0,6.0,9.3,.645,0.0,0.1,.111,6.0,9.1,.653,.646,2.4,3.3,.740,3.3,6.7,9.9,1.7,0.8,1.2,1.4,2.3,14.4,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,alvarjo01
10,Kyle Anderson,PF,29,MIN,64,46,28.1,3.5,7.1,.502,0.6,1.5,.417,2.9,5.6,.525,.546,1.6,2.1,.735,1.0,4.4,5.4,4.8,1.2,0.9,1.5,2.2,9.3,anderky01
